DISTRICT,VISIBILITY,LIGHT,RDSFCOND,Fatal,Driver,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,DRIVACT_GROUPED,INVAGE_GROUPED,Primary_Road,DRIVCOND_GROUPED,VEHTYPE_GROUPED,TRAFFCTL_GROUPED,Weekend,At Intersection,Fatal_Injury
Scarborough,0,0,2,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Unknown,1.0,,Unknown,Traffic Signals and Signs,0,1,0
Scarborough,0,0,2,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,Proper Driving,Older Adults,1.0,Normal,Public Transit and Buses,Traffic Signals and Signs,0,1,0
Scarborough,0,0,2,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Middle-Aged,1.0,,Unknown,Traffic Signals and Signs,0,1,0
Scarborough,0,2,2,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Disobedience of Traffic Control,Older Adults,1.0,Medical/Physical Issues,Automobiles and Light Vehicles,No Control,0,1,0
Scarborough,0,2,2,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Proper Driving,Older Adults,1.0,Normal,Automobiles and Light Vehicles,No Control,0,1,0
North York,0,2,0,1,0.0,0,0,1,0,0,0,0,1,1,1,0,0,0,,Young,0.0,,Others,No Control,0,2,0
North York,0,2,0,1,0.0,0,0,1,0,0,0,0,1,1,1,0,0,0,,Young,0.0,,Others,No Control,0,2,0
North York,0,2,0,1,0.0,0,0,1,0,0,0,0,1,1,1,0,0,0,,Young,0.0,,Others,No Control,0,2,1
North York,0,2,0,1,1.0,0,0,1,0,0,0,0,1,1,1,0,0,0,,Unknown,0.0,,Others,No Control,0,2,0
North York,0,2,0,1,1.0,0,0,1,0,0,0,0,1,1,1,0,0,0,Loss of Control,Young,0.0,Distracted/Inattentive,Automobiles and Light Vehicles,No Control,0,2,0
North York,0,2,0,1,1.0,0,0,1,0,0,0,0,1,1,1,0,0,0,,Unknown,0.0,,Others,No Control,0,2,0
Etobicoke York,2,2,1,0,1.0,1,0,1,0,0,0,0,0,1,1,0,0,0,,Unknown,1.0,,Others,Traffic Signals and Signs,1,2,0
Etobicoke York,2,2,1,0,1.0,1,0,1,0,0,0,0,0,1,1,0,0,0,Speed-Related,Middle-Aged,1.0,Normal,Automobiles and Light Vehicles,Traffic Signals and Signs,1,2,0
Etobicoke York,2,2,1,0,0.0,1,0,1,0,0,0,0,0,1,1,0,0,0,,Older Adults,1.0,,Others,Traffic Signals and Signs,1,2,0
North York,0,0,2,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,Proper Driving,Young Adults,1.0,Normal,Automobiles and Light Vehicles,No Control,1,2,0
North York,0,0,2,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,Young Adults,1.0,,Others,No Control,1,2,0
Toronto and East York,0,0,2,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,Proper Driving,Young Adults,1.0,Normal,Automobiles and Light Vehicles,No Control,1,2,0
